md5,doi,url,license,formatted,possible_authorship,possible_citation,print_date,keywords,created,specimens,orcids,countries
d17062fe439c87e09843d74cf764a150,10.3897/phytokeys.108.27284,https://phytokeys.pensoft.net/article_preview.php?id=27284,cc-by,"Montero Muñoz, I., Cardiel, J.M. & Levin, G.A. 2018. Nomenclatural review of Acalypha (Euphorbiaceae) of the Western Indian Ocean Region (Madagascar, the Comoros Archipelago, the Mascarene Islands and the Seychelles Archipelago). PhytoKeys, 108, 85–116, doi: 10.3897/phytokeys.108.27284.
",true,,2018-09-10,botany,2018-09-15,"","","Spain,United States of America,Canada"
b8f4ace9376794f89206280540243a26,10.3897/phytokeys.108.27284,https://phytokeys.pensoft.net/article/27284/download/pdf/,,"Montero Muñoz, I., Cardiel, J. M., & Levin, G. A. (2018). Nomenclatural review of Acalypha (Euphorbiaceae) of the Western Indian Ocean Region (Madagascar, the Comoros Archipelago, the Mascarene Islands and the Seychelles Archipelago). PhytoKeys, 108, 85–116. doi:10.3897/phytokeys.108.27284
",true,false,2018-09-10,botany,2018-09-15,"","","Spain,United States of America,Canada"
99724ac8f548ecc13adc5e8ce53aebe8,10.1139/AS-2018-0008,http://www.nrcresearchpress.com/doi/pdfplus/10.1139/AS-2018-0008,,"Domine, F., Gauthier, G., Vionnet, V., Fauteux, D., Dumont, M. & Barrere, M. 2018. Snow physical properties may be a significant determinant of lemming population dynamics in the high Arctic. Arctic Science, 4, 813–826, doi: 10.1139/as-2018-0008.
",true,false,2018-09-07,zoology,2018-09-11,"","","Canada,France"
fd04a7ac89071960fb83583651489bde,10.11646/zootaxa.4471.2.3,http://mail.insectbiodiversity.org/j/zt/article/view/zootaxa.4471.2.3,,"SMITH, A.B.T. & EVANS, A.V. 2018. Taxonomic review of Athliini (Coleoptera: Scarabaeidae: Melolonthinae), a new tribe of scarab beetles endemic to South America. Zootaxa, 4471, 279, doi: 10.11646/zootaxa.4471.2.3.
",true,false,2018-09-05,"zoology,selected",2018-09-08,"","","Canada,United States of America"
d055d6292dc09fe541f8f72b3b995692,10.4039/tce.2018.32,https://www.cambridge.org/core/journals/canadian-entomologist/article/revision-of-the-taxonomy-and-distribution-of-the-neotropical-copris-incertus-species-complex-coleoptera-scarabaeidae-scarabaeinae/3E2853A214A88F3BB896D3CF6D22C7A3,,"Darling, J.D.G. & Génier, F. 2018. Revision of the taxonomy and distribution of the Neotropical Copris incertus species complex (Coleoptera: Scarabaeidae: Scarabaeinae). The Canadian Entomologist, 150, 539–577, doi: 10.4039/tce.2018.32.
",true,,2018-09-04,zoology,2018-09-08,"","",Canada
bdfa0b023842f431f0c0688d0b28e347,10.1093/isd/ixy011,https://academic.oup.com/isd/article-abstract/2/5/2/5092453,,"Anderson, R.S. 2018. A Revision of the Weevil Genus Phyxelis Schönherr 1843 (Coleoptera: Curculionidae; Entiminae; Tropiphorini) in North America. Insect Systematics and Diversity, 2, doi: 10.1093/isd/ixy011.
",true,,2018-09-01,zoology,2018-09-15,"","",Canada
01f280fd7d3c58aeb3d6298cb7381eb5,10.1016/j.jaa.2018.05.004,https://www.sciencedirect.com/science/article/pii/S0278416517301721,,"Norman, L.E.Y. 2018. Ethnohistoric documents as analogical tools: A case study from northwest Alaska. Journal of Anthropological Archaeology, 51, 1–15, doi: 10.1016/j.jaa.2018.05.004.
",false,false,2018-09,other,2018-05-27,"","",Canada
9918c9783bade51a31cb7dd9b06d334b,10.1016/j.jaa.2018.06.004,https://www.sciencedirect.com/science/article/pii/S0278416518300011,,"Losey, R.J., Nomokonova, T., Gusev, A.V., Bachura, O.P., Fedorova, N.V., Kosintsev, P.A. & Sablin, M.V. 2018. Dogs were domesticated in the Arctic: Culling practices and dog sledding at Ust’-Polui. Journal of Anthropological Archaeology, 51, 113–126, doi: 10.1016/j.jaa.2018.06.004.
",,,2018-09,other,2018-06-26,"","","Canada,Russia"
5129431f80f638f3b51e24c8866dcf6a,10.1139/cjb-2018-0042,http://www.nrcresearchpress.com/doi/abs/10.1139/cjb-2018-0042,,"McMullin, R.T., Maloles, J.R., Selva, S.B. & Newmaster, S.G. 2018. A synopsis of Chaenotheca in North America, including a new species from southern Ontario, C. selvae, supported by morphometric analyses. Botany, 96, 547–553, doi: 10.1139/cjb-2018-0042.
",true,false,2018-09,botany,2018-09-02,"","","Canada,United States of America"
8c0270ffd9898b4bf43b7f52a098529a,10.1139/cjb-2018-0027,http://www.nrcresearchpress.com/doi/abs/10.1139/cjb-2018-0027,,"Mastin, J.E., Anthamatten, P. & Bruederle, L.P. 2018. Climatic niche modeling reveals divergence between cytotypes in Eutrema edwardsii (Brassicaceae). Botany, 96, 813–823, doi: 10.1139/cjb-2018-0027.
",false,false,2018-08-21,botany,2018-08-25,"CAN 313172, CAN 368128, CAN 393556, CAN 485348, CAN 485399, CAN 489895, CAN 495845, CAN 499847, CAN 502561, CAN 518023, CAN 549967, CAN 556043, CAN 565077, CAN 583723, CAN 583724, CAN 585152, CAN 592858, CAN 592906, CAN 595263, CAN 595455, CAN 595610, CAN 598293, CAN 598294, CAN 598295, CAN 598296, CAN 599424, CAN 599425, CAN 599427, CAN 601820, CAN 601821, CAN 601824, CAN 601825","",United States of America
e0c1aaa5e628980264845e438c43519e,10.3390/hydrology5030046,http://www.mdpi.com/2306-5338/5/3/46/htm,cc-by,"Fassnacht, S., Allegretti, A., et al. 2018. Merging Indigenous Knowledge Systems and Station Observations to Estimate the Uncertainty of Precipitation Change in Central Mongolia. Hydrology, 5, 46, doi: 10.3390/hydrology5030046.
",false,true,2018-08-19,other,2018-09-02,"","","United States of America,Germany,Mongolia"
34b92dcbc75b7e3f6d6e77065110d400,10.1111/jeb.13368,https://onlinelibrary.wiley.com/doi/abs/10.1111/jeb.13368,,"Stelbrink, B., Jovanovska, E., Levkov, Z., Ognjanova-Rumenova, N., Wilke, T. & Albrecht, C. 2018. Diatoms do radiate: evidence for a freshwater species flock. Journal of Evolutionary Biology, 31, 1969–1975, doi: 10.1111/jeb.13368.
",false,false,2018-08-16,zoology,2018-08-21,"",0000-0002-7471-4992,"Germany,Macedonia,Bulgaria"
e3f1c0fa6aa8e93db49dbec10190aa9b,10.3897/phytokeys.108.26277,https://phytokeys.pensoft.net/article/26277/download/pdf/,,"Bahls, L. 2018. Evidence from checklists for a Holarctic (circumboreal) kingdom of diatoms. PhytoKeys, 108, 13–24, doi: 10.3897/phytokeys.108.26277.
",false,false,2018-08-13,botany,2018-08-16,"","",United States of America
a7a15cea5994780dba49fbcd012c0dba,10.1007/s11269-018-2081-7,https://link.springer.com/article/10.1007/s11269-018-2081-7,,"Zhi, Y., Hamilton, P.B., Wang, X., Zhang, Z. & Liang, L. 2018. Game Theory Analysis of the Virtual Water Strategy. Water Resources Management, 32, 4747–4761, doi: 10.1007/s11269-018-2081-7.
",true,true,2018-08-13,"botany,selected",2018-08-16,"","","China,Canada"
eee86ea9cb4e2b5f6b762c726640ff63,10.3390/d10030084,http://www.mdpi.com/1424-2818/10/3/84/htm,cc-by,"Hespenheide, H. 2018. A Review of Philenis Champion, 1906 (Coleoptera: Curculionidae: Conoderinae), with Descriptions of New Species from Central and South America. Diversity, 10, 84, doi: 10.3390/d10030084.
",false,false,2018-08-08,zoology,2018-09-05,"","",United States of America
c785a7716c7a104b878ac5bb91b94ac2,10.3390/d10030083,http://www.mdpi.com/1424-2818/10/3/83/htm,cc-by,"Anderson, R., Oberprieler, R. & Setliff, G. 2018. Validation of the Names of Five Weevil Taxa Described by Anderson et al., A Review of the Araucaria-Associated Weevils of the Tribe Orthorhinini (Coleoptera: Curculionidae: Molytinae), with Description of New Species of Ilacuris Pascoe, 1865 and Notopissodes Zimmerman & Oberprieler, 2014 and a New Genus, Kuschelorhinus Anderson & Setliff; Diversity, 2018, 10, 54. Diversity, 10, 83, doi: 10.3390/d10030083.
",true,true,2018-08-07,zoology,2018-09-05,"","","Canada,Australia,United States of America"
cd95196782cf5047920e6bc78d1f33dd,10.1017/S1742758418000115,https://www.cambridge.org/core/journals/international-journal-of-tropical-insect-science/article/identification-of-major-insect-pests-of-amaranthus-spp-and-germplasm-screening-for-insect-resistance-in-tanzania/E95C7CD2F38C93B0D32E67844139925D,,"Smith, J.D., Dinssa, F.F., Anderson, R.S., Su, F. & Srinivasan, R. 2018. Identification of major insect pests of Amaranthus spp. and germplasm screening for insect resistance in Tanzania. International Journal of Tropical Insect Science, 38, 261–273, doi: 10.1017/s1742758418000115.
",true,false,2018-08-03,zoology,2018-08-07,"","","United States of America,Tanzania,Canada,Taiwan"
78e494bde969a266d8661df35cd4b714,10.1002/ajb2.1123,https://onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1123,,"Smith, S.Y., Iles, W.J.D., Benedict, J.C. & Specht, C.D. 2018. Building the monocot tree of death: Progress and challenges emerging from the macrofossil-rich Zingiberales. American Journal of Botany, 105, 1389–1400, doi: 10.1002/ajb2.1123.
",false,false,2018-08-02,botany,2018-08-07,"","",United States of America
5582c12182a1fdf7422e875efb48d49d,10.1111/cote.12365,https://onlinelibrary.wiley.com/doi/abs/10.1111/cote.12365,,"Del Hoyo-Meléndez, J.M., Świt, P. & Sobczyk, J. 2018. Measuring photostability through glass: the application of microfading testing to the study of framed pastel artworks. Coloration Technology, 134, 411–422, doi: 10.1111/cote.12365.
",false,true,2018-08-01,other,2018-08-07,"","",Poland
39393dea6abb3c724aa51d8197f4c35e,10.1016/j.envpol.2018.04.008,https://www.sciencedirect.com/science/article/pii/S0269749117349412,,"Long, S.-X., Hamilton, P.B., Yang, Y., Wang, S., Huang, W., Chen, C. & Tao, R. 2018. Differential bioaccumulation of mercury by zooplankton taxa in a mercury-contaminated reservoir Guizhou China. Environmental Pollution, 239, 147–160, doi: 10.1016/j.envpol.2018.04.008.
",true,true,2018-08,"zoology,selected",2018-04-15,"","","China,Canada"
85906567b30d90d5c691ec970ee5d0ea,10.1111/epp.12484,https://doi.org/10.1111/epp.12484,,"Afonin, A.N., Luneva, N.N., Fedorova, Y.A., Kletchkovskiy, Y.E. & Chebanovskaya, A.F. 2018. History of introduction and distribution of common ragweed (Ambrosia artemisiifolia
 L.) in the European part of the Russian Federation and in the Ukraine. EPPO Bulletin, 48, 266–273, doi: 10.1111/epp.12484.
",,,2018-08,botany,2018-08-03,"","","Russia,United Kingdomraine"
c7f44c2831da02ac4993c0455a5662fe,10.1016/j.jas.2018.02.003,https://doi.org/10.1016/j.jas.2018.02.003,,"Collins, C., Asouti, E., Grove, M., Kabukcu, C., Bradley, L. & Chiverrell, R. 2018. Understanding resource choice at the transition from foraging to farming: An application of palaeodistribution modelling to the Neolithic of the Konya Plain, south-central Anatolia, Turkey. Journal of Archaeological Science, 96, 57–72, doi: 10.1016/j.jas.2018.02.003.
",,,2018-08,other,2018-08-03,"","",United Kingdom
d17d9b46638258ec6c6b8d6851ae593b,10.1898/NWN17-30.1,http://www.bioone.org/doi/abs/10.1898/NWN17-30.1,,"Sealy, S. G. (2018). Revisiting Evidence for Historic Presence of Northwestern Deermouse (Peromyscus keeni) on Langara Island, Haida Gwaii, British Columbia. Northwestern Naturalist, 99(2), 124–129. doi:10.1898/nwn17-30.1
",false,false,2018-08,zoology,2018-08-14,"","",Canada
c653aa5df59dd50acaa0a23a1ea3d982,10.1898/NWN17-20.1,http://www.bioone.org/doi/abs/10.1898/NWN17-20.1,,"Dekker, D. & Drever, M.C. 2018. Mule Deer, White-Tailed Deer, and Wolves in Jasper National Park, Alberta: 35 Years of Sightings, 1981–2016. Northwestern Naturalist, 99, 93–100, doi: 10.1898/nwn17-20.1.
",false,true,2018-08,zoology,2018-08-14,"","",Canada
a943d3af742288289ae5a7a4bcc10fba,10.1038/s41586-018-0419-1,https://doi.org/10.1038/s41586-018-0419-1,,"Li, C., Fraser, N.C., Rieppel, O. & Wu, X.-C. 2018. A Triassic stem turtle with an edentulous beak. Nature, 560, 476–479, doi: 10.1038/s41586-018-0419-1.
",true,false,2018-08,"palaeontology,selected",2018-08-27,"","","China,United States of America,United Kingdom,Canada"
f98461973472e61d8b8aa38ec8a80e73,10.1180/minmag.2017.081.059,https://doi.org/10.1180/minmag.2017.081.059,,"Cooper, M. A., Raade, G., Ball, N. A., Abdu, Y. A., Hawthorne, F. C., & Rowe, R. (2018). Folvikite, Sb5+Mn3+(Mg,Mn2+)10O8(BO3)4, a new oxyborate mineral from the Kitteln mine, Nordmark ore district, Värmland, Sweden: description and crystal structure. Mineralogical Magazine, 82(4), 821–836. doi:10.1180/minmag.2017.081.059
",true,false,2018-08,mineralogy,2018-10-01,"","","Canada,Norway"
1836e4ba6094d4fa4647df1b71472ffd,10.1659/MRD-JOURNAL-D-17-00090.1,http://www.bioone.org/doi/pdf/10.1659/MRD-JOURNAL-D-17-00090.1,cc-by,"Blancas, A.N.I., Torre-Cuadros, M. de los Á.L. & Carrera, G.A.M. 2018. Using Foresight to Gain a Local Perspective on the Future of Ecosystem Services in a Mountain Protected Area in Peru. Mountain Research and Development, 38, 192–202, doi: 10.1659/mrd-journal-d-17-00090.1.
",false,true,2018-08,other,2018-10-14,"","",Peru
56483fc7993ad789dbfc3afc36efa662,10.3390/geosciences8080276,https://doi.org/10.3390/geosciences8080276,cc-by,"Anaf, W., Leyva Pernia, D. & Schalm, O. 2018. Standardized Indoor Air Quality Assessments as a Tool to Prepare Heritage Guardians for Changing Preservation Conditions due to Climate Change. Geosciences, 8, 276, doi: 10.3390/geosciences8080276.
",,,2018-07-27,other,2018-08-07,"","","Belgium,Cuba"
caf4a22c75856f8bd0e3523e0a53f60d,10.1145/3230652,https://dl.acm.org/citation.cfm?id=3230652,,"Sikora, M., Russo, M., Derek, J. & Jurčević, A. 2018. Soundscape of an Archaeological Site Recreated with Audio Augmented Reality. ACM Transactions on Multimedia Computing, Communications, and Applications, 14, 1–22, doi: 10.1145/3230652.
",,,2018-07-24,other,2018-07-31,"","",Croatia
06c90d8fa24887295ef8534aa8297b28,10.3390/d10030071,https://res.mdpi.com/diversity/diversity-10-00071/article_deploy/diversity-10-00071-v3.pdf?filename=&attachment=1,,"Jennings, D. & Oberprieler, R. 2018. A Review of the Tribe Cryptoplini (Coleoptera: Curculioninae), with Revision of the Genus Menechirus Hartmann, 1901 and Description of a New Genus Associated with Macadamia. Diversity, 10, 71, doi: 10.3390/d10030071.
",false,false,2018-07-23,zoology,2018-08-16,"","",Australia
3b526b94327aa74fd038f936d1764865,10.3390/d10030064,http://www.mdpi.com/1424-2818/10/3/64/pdf,,"McKenna, D., Clarke, D., et al. 2018. Morphological and Molecular Perspectives on the Phylogeny, Evolution, and Classification of Weevils (Coleoptera: Curculionoidea): Proceedings from the 2016 International Weevil Meeting. Diversity, 10, 64, doi: 10.3390/d10030064.
",true,false,2018-07-18,zoology,2018-09-05,"","","United States of America,Canada,Germany,New Zealand,Argentina,France,Norway,Austria,United Kingdom,Brazil,Australia,"
aef15dddb3db9dfab53d2331dd0e2f49,10.5334/oq.40,https://www.openquaternary.com/articles/10.5334/oq.40/,,"Welker, M., Billings, S., Burns, J. & McClure, S. 2018. Roads and Military Provisioning During the French and Indian War
                        (1754–1763): The Faunal Remains of Fort Shirley, PA in Context. Open Quaternary, 4, 5, doi: 10.5334/oq.40.
",false,false,2018-07-16,other,2018-07-22,"","",United States of America
924b758537c2bf1d06a9e7aaab36b923,10.15560/14.4.579,https://checklist.pensoft.net/article/25898/download/pdf/,,"Forsyth, R. & Nicolai, A. 2018. Guppya sterkii (Dall, 1888) (Gastropoda, Eupulmonata, Euconulidae) in eastern Ontario, Canada. Check List, 14, 579–583, doi: 10.15560/14.4.579.
",false,false,2018-07-13,zoology,2018-07-17,"","","Canada,France"
482eb40c472883e5a0aed6c4d6cfa1b9,10.1093/jhered/esy034,https://doi.org/10.1093/jhered/esy034,publisher-specific,"Natola, L. & Burg, T.M. 2018. Population Genetics and Speciation of Yellow-Bellied, Red-Naped, and Red-Breasted Sapsuckers (Sphyrapicus varius, S. nuchalis, and S. ruber). Journal of Heredity, 109, 663–674, doi: 10.1093/jhered/esy034.
",,,2018-07-13,zoology,2018-08-03,"","",Canada
8c49e2bfc3293bd1d6ed6cf466528449,10.3897/BDJ.6.e27427,https://doi.org/10.3897/BDJ.6.e27427,cc-by,"Booysen, M., Sikes, D., Bowser, M. & Andrews, R. 2018. Earthworms (Oligochaeta: Lumbricidae) of Interior Alaska. Biodiversity Data Journal, 6, e27427, doi: 10.3897/bdj.6.e27427.
",false,false,2018-07-10,zoology,2018-08-03,"","",United States of America
0fbb711c56f495bc2be2a7a09a4533ed,10.7717/peerj.5212,https://peerj.com/articles/5212,cc-by,"Taylor, M.P. 2018. Xenoposeidon is the earliest known rebbachisaurid sauropod dinosaur. PeerJ, 6, e5212, doi: 10.7717/peerj.5212.
",false,false,2018-07-06,palaeontology,2018-07-12,NMC 50844,"",England
